time,txed,acked
3,1,0
7,2,0
10,3,0
11,4,3
11,5,4
12,6,5
13,7,6
13,8,7
17,9,7
17,10,9
18,11,10
19,12,11
19,13,12
20,14,13
21,15,14
21,16,15
22,16,16
