time,txed,acked
3,1,0
4,2,0
4,3,1
8,4,1
8,5,1
12,6,1
13,7,4
13,8,5
14,9,6
15,10,7
18,11,7
19,12,9
19,13,10
20,14,11
21,15,12
24,16,12
25,17,14
25,18,15
26,18,16
