time,txed,acked
0,1,0
1,2,1
1,3,2
2,4,3
3,5,4
3,6,5
4,7,6
5,8,7
5,9,8
6,10,9
10,11,9
13,12,9
14,13,12
14,14,13
15,15,14
16,16,15
16,16,16
