time,txed,acked
1,1,0
3,2,1
4,3,2
6,4,3
7,5,4
9,6,5
10,7,6
12,8,7
14,9,8
15,10,9
17,11,10
19,12,11
20,13,12
22,14,13
24,15,14
27,16,14
28,16,16
