time,txed,acked
1,1,0
3,2,1
4,3,2
6,4,3
7,5,4
11,6,4
12,7,4
14,8,6
16,9,7
17,10,8
19,11,9
21,12,10
22,13,11
24,14,12
26,15,13
27,16,14
29,17,15
29,17,16
