time,txed,acked
1,1,0
3,2,1
4,3,2
6,4,3
7,5,4
9,6,5
12,7,5
14,8,7
16,9,8
17,10,9
19,11,10
21,12,11
22,13,12
24,14,13
26,15,14
27,16,15
28,16,16
