time,txed,acked
1,1,0
5,2,0
6,3,0
8,4,2
9,5,3
11,6,4
12,7,5
14,8,6
16,9,7
17,10,8
19,11,9
21,12,10
22,13,11
24,14,12
26,15,13
27,16,14
29,17,15
29,17,16
