time,txed,acked
3,1,0
7,2,0
8,3,2
12,4,2
15,5,2
19,6,2
22,7,2
26,8,2
29,9,2
33,10,2
36,11,2
40,12,2
43,13,2
47,14,2
50,15,2
54,16,2
57,17,2
61,18,2
64,19,2
68,20,2
71,21,2
75,22,2
78,23,2
82,24,2
85,25,2
89,26,2
92,27,2
96,28,2
99,29,2
103,30,2
106,31,2
110,32,2
113,33,2
117,34,2
