time,txed,acked
3,1,0
4,2,0
4,3,1
5,4,2
6,5,3
6,6,4
10,7,4
10,8,6
14,9,6
15,10,6
15,11,8
16,12,9
17,13,10
17,14,11
18,15,12
18,16,13
19,17,14
20,18,15
20,18,16
