time,txed,acked
0,1,0
4,2,0
4,3,2
5,4,3
8,5,3
9,6,5
10,7,6
13,8,6
17,9,6
17,10,9
18,11,10
22,12,10
25,13,10
29,14,10
32,15,10
33,16,15
33,16,16
