time,current,voltage
24-05-12 22:42.43,0.167,2.876
24-05-12 22:42.58,0.156,2.876
24-05-12 22:43.13,0.18,2.876
24-05-12 22:43.28,0.175,2.876
24-05-12 22:43.43,0.167,2.876
24-05-12 22:43.58,0.171,2.876
24-05-12 22:44.13,0.173,2.876
24-05-12 22:44.28,0.169,2.876
24-05-12 22:44.43,0.184,2.876
24-05-12 22:44.58,0.181,2.876
24-05-12 22:45.13,0.181,2.876
24-05-12 22:45.28,0.167,2.876
24-05-12 22:45.43,0.174,2.876
24-05-12 22:45.58,0.18,2.877
24-05-12 22:46.13,0.177,2.876
24-05-12 22:46.28,0.16,2.876
24-05-12 22:46.43,0.168,2.877
24-05-12 22:46.58,0.178,2.877
24-05-12 22:47.13,0.174,2.876
24-05-12 22:47.28,0.17,2.877
24-05-12 22:47.43,0.157,2.877
24-05-12 22:47.58,0.191,2.877
24-05-12 22:48.13,0.17,2.877
24-05-12 22:48.28,0.162,2.877
24-05-12 22:48.43,0.171,2.877
24-05-12 22:48.58,0.152,2.877
24-05-12 22:49.13,0.161,2.877
24-05-12 22:49.28,0.178,2.877
24-05-12 22:49.43,0.178,2.877
24-05-12 22:49.58,0.155,2.877
24-05-12 22:50.13,0.178,2.877
24-05-12 22:50.28,0.177,2.877
24-05-12 22:50.43,0.169,2.877
24-05-12 22:50.58,0.157,2.877
24-05-12 22:51.13,0.169,2.877
24-05-12 22:51.28,0.166,2.878
24-05-12 22:51.43,0.177,2.877
24-05-12 22:51.58,0.165,2.878
24-05-12 22:52.13,0.162,2.877
24-05-12 22:52.28,0.17,2.878
24-05-12 22:52.43,0.181,2.878
24-05-12 22:52.58,0.156,2.878
24-05-12 22:53.13,0.156,2.878
24-05-12 22:53.28,0.191,2.878
24-05-12 22:53.43,0.176,2.878
24-05-12 22:53.58,0.159,2.878
24-05-12 22:54.13,0.165,2.878
24-05-12 22:54.28,0.17,2.878
24-05-12 22:54.43,0.166,2.878
24-05-12 22:54.58,0.178,2.877
24-05-12 22:55.13,0.18,2.878
24-05-12 22:55.28,0.178,2.878
24-05-12 22:55.43,0.17,2.878
24-05-12 22:55.58,0.172,2.878
24-05-12 22:56.12,0.181,2.878
24-05-12 22:56.27,0.164,2.878
24-05-12 22:56.42,0.177,2.878
24-05-12 22:56.57,0.178,2.878
24-05-12 22:57.12,0.173,2.878
24-05-12 22:57.27,0.164,2.878
24-05-12 22:57.42,0.171,2.878
24-05-12 22:57.57,0.164,2.878
24-05-12 22:58.12,0.167,2.878
24-05-12 22:58.27,0.148,2.879
24-05-12 22:58.42,0.181,2.878
24-05-12 22:58.57,0.17,2.879
24-05-12 22:59.12,0.156,2.879
24-05-12 22:59.27,0.172,2.879
24-05-12 22:59.42,0.168,2.878
24-05-12 22:59.57,0.179,2.879
24-05-12 23:00.12,0.18,2.879
24-05-12 23:00.27,0.158,2.879
24-05-12 23:00.42,0.175,2.879
24-05-12 23:00.57,0.176,2.879
24-05-12 23:01.12,0.168,2.879
24-05-12 23:01.27,0.151,2.879
24-05-12 23:01.42,0.175,2.879
24-05-12 23:01.57,0.181,2.879
24-05-12 23:02.12,0.184,2.879
24-05-12 23:02.27,0.181,2.879
24-05-12 23:02.42,0.187,2.879
24-05-12 23:02.57,0.152,2.879
24-05-12 23:03.12,0.182,2.879
24-05-12 23:03.27,0.18,2.879
24-05-12 23:03.42,0.149,2.879
24-05-12 23:03.57,0.172,2.879
24-05-12 23:04.12,0.172,2.879
24-05-12 23:04.27,0.183,2.879
24-05-12 23:04.42,0.173,2.879
24-05-12 23:04.57,0.193,2.879
24-05-12 23:05.12,0.173,2.879
24-05-12 23:05.27,0.158,2.879
24-05-12 23:05.42,0.172,2.879
24-05-12 23:05.57,0.146,2.88
24-05-12 23:06.12,0.179,2.88
24-05-12 23:06.27,0.181,2.88
24-05-12 23:06.42,0.181,2.88
24-05-12 23:06.57,0.169,2.88
24-05-12 23:07.12,0.172,2.879
24-05-12 23:07.27,0.182,2.88
24-05-12 23:07.42,0.156,2.88
24-05-12 23:07.57,0.146,2.88
24-05-12 23:08.12,0.159,2.88
24-05-12 23:08.27,0.185,2.88
24-05-12 23:08.42,0.178,2.88
24-05-12 23:08.57,0.17,2.88
24-05-12 23:09.12,0.18,2.88
24-05-12 23:09.27,0.158,2.88
24-05-12 23:09.42,0.17,2.88
24-05-12 23:09.57,0.178,2.88
24-05-12 23:10.12,0.147,2.88
24-05-12 23:10.27,0.175,2.88
24-05-12 23:10.42,0.174,2.88
24-05-12 23:10.57,0.175,2.88
24-05-12 23:11.12,0.17,2.88
24-05-12 23:11.27,0.177,2.88
24-05-12 23:11.42,0.149,2.881
24-05-12 23:11.57,0.162,2.88
24-05-12 23:12.12,0.186,2.88
24-05-12 23:12.27,0.173,2.88
24-05-12 23:12.42,0.161,2.88
24-05-12 23:12.57,0.16,2.881
24-05-12 23:13.12,0.179,2.88
24-05-12 23:13.27,0.187,2.881
24-05-12 23:13.42,0.158,2.881
24-05-12 23:13.57,0.154,2.881
24-05-12 23:14.12,0.168,2.881
24-05-12 23:14.27,0.168,2.881
24-05-12 23:14.42,0.155,2.881
24-05-12 23:14.57,0.176,2.881
24-05-12 23:15.12,0.165,2.881
24-05-12 23:15.27,0.194,2.881
24-05-12 23:15.42,0.188,2.881
24-05-12 23:15.57,0.168,2.881
24-05-12 23:16.12,0.181,2.881
24-05-12 23:16.27,0.175,2.881
24-05-12 23:16.42,0.159,2.881
24-05-12 23:16.57,0.159,2.881
24-05-12 23:17.12,0.175,2.881
24-05-12 23:17.27,0.163,2.881
24-05-12 23:17.42,0.168,2.881
24-05-12 23:17.57,0.139,2.881
24-05-12 23:18.11,0.168,2.881
24-05-12 23:18.26,0.182,2.881
24-05-12 23:18.41,0.163,2.881
24-05-12 23:18.56,0.158,2.882
24-05-12 23:19.11,0.177,2.881
24-05-12 23:19.26,0.166,2.881
24-05-12 23:19.41,0.157,2.882
24-05-12 23:19.56,0.164,2.881
24-05-12 23:20.11,0.158,2.881
24-05-12 23:20.26,0.174,2.882
24-05-12 23:20.41,0.155,2.881
24-05-12 23:20.56,0.175,2.881
24-05-12 23:21.11,0.143,2.882
24-05-12 23:21.26,0.175,2.881
24-05-12 23:21.41,0.156,2.882
24-05-12 23:21.56,0.19,2.882
24-05-12 23:22.11,0.158,2.882
24-05-12 23:22.26,0.157,2.882
24-05-12 23:22.41,0.179,2.882
24-05-12 23:22.56,0.155,2.882
24-05-12 23:23.11,0.165,2.882
24-05-12 23:23.26,0.177,2.882
24-05-12 23:23.41,0.17,2.882
24-05-12 23:23.56,0.167,2.882
24-05-12 23:24.11,0.184,2.882
24-05-12 23:24.26,0.163,2.882
24-05-12 23:24.41,0.171,2.882
24-05-12 23:24.56,0.185,2.882
24-05-12 23:25.11,0.156,2.882
24-05-12 23:25.26,0.166,2.882
24-05-12 23:25.41,0.164,2.882
24-05-12 23:25.56,0.181,2.882
24-05-12 23:26.11,0.17,2.882
24-05-12 23:26.26,0.171,2.882
24-05-12 23:26.41,0.158,2.882
24-05-12 23:26.56,0.153,2.882
24-05-12 23:27.11,0.162,2.882
24-05-12 23:27.26,0.167,2.882
24-05-12 23:27.41,0.161,2.882
24-05-12 23:27.56,0.169,2.882
24-05-12 23:28.11,0.164,2.882
24-05-12 23:28.26,0.166,2.883
24-05-12 23:28.41,0.162,2.882
24-05-12 23:28.56,0.154,2.883
24-05-12 23:29.11,0.168,2.883
24-05-12 23:29.26,0.183,2.883
24-05-12 23:29.41,0.162,2.882
24-05-12 23:29.56,0.161,2.883
24-05-12 23:30.11,0.18,2.883
24-05-12 23:30.26,0.179,2.883
24-05-12 23:30.41,0.162,2.883
24-05-12 23:30.56,0.171,2.883
24-05-12 23:31.11,0.171,2.883
24-05-12 23:31.26,0.144,2.883
24-05-12 23:31.41,0.16,2.883
24-05-12 23:31.56,0.15,2.883
24-05-12 23:32.11,0.173,2.883
24-05-12 23:32.26,0.176,2.883
24-05-12 23:32.41,0.154,2.883
24-05-12 23:32.56,0.168,2.883
24-05-12 23:33.11,0.173,2.883
24-05-12 23:33.26,0.182,2.883
24-05-12 23:33.41,0.168,2.883
24-05-12 23:33.56,0.186,2.883
24-05-12 23:34.11,0.16,2.883
24-05-12 23:34.26,0.176,2.883
24-05-12 23:34.41,0.162,2.883
24-05-12 23:34.56,0.174,2.883
24-05-12 23:35.11,0.173,2.883
24-05-12 23:35.26,0.154,2.883
24-05-12 23:35.41,0.162,2.883
24-05-12 23:35.56,0.15,2.884
24-05-12 23:36.11,0.169,2.883
24-05-12 23:36.26,0.157,2.884
24-05-12 23:36.41,0.16,2.884
24-05-12 23:36.56,0.165,2.883
24-05-12 23:37.11,0.166,2.883
24-05-12 23:37.26,0.163,2.884
24-05-12 23:37.41,0.164,2.884
24-05-12 23:37.56,0.184,2.884
24-05-12 23:38.11,0.158,2.884
24-05-12 23:38.26,0.175,2.884
24-05-12 23:38.41,0.161,2.884
24-05-12 23:38.56,0.152,2.884
24-05-12 23:39.11,0.164,2.884
24-05-12 23:39.26,0.158,2.884
24-05-12 23:39.41,0.163,2.884
24-05-12 23:39.55,0.153,2.884
24-05-12 23:40.10,0.168,2.884
24-05-12 23:40.25,0.168,2.884
24-05-12 23:40.40,0.154,2.884
24-05-12 23:40.55,0.152,2.884
24-05-12 23:41.10,0.166,2.884
24-05-12 23:41.25,0.169,2.884
24-05-12 23:41.40,0.169,2.884
24-05-12 23:41.55,0.177,2.884
24-05-12 23:42.10,0.164,2.884
24-05-12 23:42.25,0.159,2.884
24-05-12 23:42.40,0.166,2.884
24-05-12 23:42.55,0.158,2.885
24-05-12 23:43.10,0.159,2.885
24-05-12 23:43.25,0.155,2.884
24-05-12 23:43.40,0.168,2.885
24-05-12 23:43.55,0.176,2.885
24-05-12 23:44.10,0.163,2.885
24-05-12 23:44.25,0.174,2.885
24-05-12 23:44.40,0.179,2.885
24-05-12 23:44.55,0.166,2.885
24-05-12 23:45.10,0.178,2.885
24-05-12 23:45.25,0.178,2.885
24-05-12 23:45.40,0.166,2.885
24-05-12 23:45.55,0.167,2.885
24-05-12 23:46.10,0.16,2.885
24-05-12 23:46.25,0.168,2.885
24-05-12 23:46.40,0.176,2.885
24-05-12 23:46.55,0.168,2.885
24-05-12 23:47.10,0.161,2.885
24-05-12 23:47.25,0.18,2.885
24-05-12 23:47.40,0.159,2.885
24-05-12 23:47.55,0.16,2.885
24-05-12 23:48.10,0.162,2.885
24-05-12 23:48.25,0.183,2.885
24-05-12 23:48.40,0.142,2.885
24-05-12 23:48.55,0.148,2.885
24-05-12 23:49.10,0.174,2.885
24-05-12 23:49.25,0.178,2.885
24-05-12 23:49.40,0.154,2.885
24-05-12 23:49.55,0.18,2.885
24-05-12 23:50.10,0.149,2.885
24-05-12 23:50.25,0.168,2.885
24-05-12 23:50.40,0.16,2.885
24-05-12 23:50.55,0.163,2.886
24-05-12 23:51.10,0.156,2.886
24-05-12 23:51.25,0.174,2.886
24-05-12 23:51.40,0.169,2.886
24-05-12 23:51.55,0.158,2.886
24-05-12 23:52.10,0.169,2.886
24-05-12 23:52.25,0.157,2.886
24-05-12 23:52.40,0.158,2.886
24-05-12 23:52.55,0.18,2.885
24-05-12 23:53.10,0.176,2.885
24-05-12 23:53.25,0.135,2.886
24-05-12 23:53.40,0.169,2.886
24-05-12 23:53.55,0.163,2.886
24-05-12 23:54.10,0.158,2.886
24-05-12 23:54.25,0.182,2.886
24-05-12 23:54.40,0.163,2.886
24-05-12 23:54.55,0.162,2.886
24-05-12 23:55.10,0.155,2.886
24-05-12 23:55.25,0.162,2.886
24-05-12 23:55.40,0.16,2.886
24-05-12 23:55.55,0.173,2.886
24-05-12 23:56.10,0.152,2.886
24-05-12 23:56.25,0.165,2.886
24-05-12 23:56.40,0.162,2.886
24-05-12 23:56.55,0.169,2.886
24-05-12 23:57.10,0.152,2.886
24-05-12 23:57.25,0.178,2.887
24-05-12 23:57.40,0.157,2.887
24-05-12 23:57.55,0.16,2.886
24-05-12 23:58.10,0.144,2.887
24-05-12 23:58.25,0.177,2.886
24-05-12 23:58.40,0.143,2.886
24-05-12 23:58.55,0.152,2.887
24-05-12 23:59.10,0.166,2.887
24-05-12 23:59.25,0.157,2.887
24-05-12 23:59.40,0.139,2.887
24-05-12 23:59.55,0.168,2.887
24-05-13 00:00.10,0.136,2.887
24-05-13 00:00.25,0.153,2.887
24-05-13 00:00.40,0.18,2.887
24-05-13 00:00.55,0.161,2.887
24-05-13 00:01.10,0.161,2.887
24-05-13 00:01.25,0.152,2.887
24-05-13 00:01.39,0.145,2.887
24-05-13 00:01.54,0.17,2.887
24-05-13 00:02.09,0.177,2.887
24-05-13 00:02.24,0.179,2.887
24-05-13 00:02.39,0.155,2.887
24-05-13 00:02.54,0.179,2.887
24-05-13 00:03.09,0.145,2.887
24-05-13 00:03.24,0.146,2.888
24-05-13 00:03.39,0.152,2.888
24-05-13 00:03.54,0.154,2.887
24-05-13 00:04.09,0.159,2.888
24-05-13 00:04.24,0.165,2.888
24-05-13 00:04.39,0.186,2.887
24-05-13 00:04.54,0.17,2.887
24-05-13 00:05.09,0.16,2.887
24-05-13 00:05.24,0.169,2.888
24-05-13 00:05.39,0.171,2.888
24-05-13 00:05.54,0.164,2.888
24-05-13 00:06.09,0.167,2.888
24-05-13 00:06.24,0.149,2.888
24-05-13 00:06.39,0.157,2.888
24-05-13 00:06.54,0.179,2.888
24-05-13 00:07.09,0.143,2.888
24-05-13 00:07.24,0.167,2.888
24-05-13 00:07.39,0.157,2.888
24-05-13 00:07.54,0.146,2.888
24-05-13 00:08.09,0.168,2.888
24-05-13 00:08.24,0.162,2.888
24-05-13 00:08.39,0.157,2.888
24-05-13 00:08.54,0.143,2.888
24-05-13 00:09.09,0.149,2.888
24-05-13 00:09.24,0.151,2.888
24-05-13 00:09.39,0.14,2.888
24-05-13 00:09.54,0.167,2.888
24-05-13 00:10.09,0.163,2.888
24-05-13 00:10.24,0.157,2.888
24-05-13 00:10.39,0.174,2.888
24-05-13 00:10.54,0.157,2.888
24-05-13 00:11.09,0.162,2.888
24-05-13 00:11.24,0.157,2.888
24-05-13 00:11.39,0.157,2.888
24-05-13 00:11.54,0.156,2.888
24-05-13 00:12.09,0.164,2.888
24-05-13 00:12.24,0.163,2.889
24-05-13 00:12.39,0.155,2.889
24-05-13 00:12.54,0.162,2.889
24-05-13 00:13.09,0.163,2.889
24-05-13 00:13.24,0.146,2.889
24-05-13 00:13.39,0.164,2.889
24-05-13 00:13.54,0.156,2.889
24-05-13 00:14.09,0.16,2.889
24-05-13 00:14.24,0.17,2.889
24-05-13 00:14.39,0.157,2.889
24-05-13 00:14.54,0.144,2.889
24-05-13 00:15.09,0.162,2.889
24-05-13 00:15.24,0.155,2.889
24-05-13 00:15.39,0.132,2.889
24-05-13 00:15.54,0.15,2.889
24-05-13 00:16.09,0.149,2.889
24-05-13 00:16.24,0.16,2.889
24-05-13 00:16.39,0.159,2.889
24-05-13 00:16.54,0.147,2.889
24-05-13 00:17.09,0.153,2.889
24-05-13 00:17.24,0.156,2.889
24-05-13 00:17.39,0.144,2.889
24-05-13 00:17.54,0.154,2.889
24-05-13 00:18.09,0.147,2.889
24-05-13 00:18.24,0.166,2.889
24-05-13 00:18.39,0.15,2.889
24-05-13 00:18.54,0.138,2.889
24-05-13 00:19.09,0.157,2.889
24-05-13 00:19.24,0.168,2.889
24-05-13 00:19.39,0.164,2.889
24-05-13 00:19.54,0.165,2.889
24-05-13 00:20.09,0.15,2.889
24-05-13 00:20.24,0.158,2.889
24-05-13 00:20.39,0.171,2.889
24-05-13 00:20.54,0.155,2.889
24-05-13 00:21.09,0.165,2.89
24-05-13 00:21.24,0.163,2.89
24-05-13 00:21.39,0.143,2.89
24-05-13 00:21.54,0.151,2.89
24-05-13 00:22.09,0.159,2.89
24-05-13 00:22.24,0.15,2.889
24-05-13 00:22.39,0.159,2.89
24-05-13 00:22.54,0.148,2.89
24-05-13 00:23.09,0.173,2.89
24-05-13 00:23.23,0.167,2.89
24-05-13 00:23.38,0.156,2.89
24-05-13 00:23.53,0.154,2.89
24-05-13 00:24.08,0.145,2.89
24-05-13 00:24.23,0.159,2.89
24-05-13 00:24.38,0.166,2.89
24-05-13 00:24.53,0.166,2.89
24-05-13 00:25.08,0.151,2.89
24-05-13 00:25.23,0.15,2.89
24-05-13 00:25.38,0.152,2.89
24-05-13 00:25.53,0.145,2.89
24-05-13 00:26.08,0.159,2.89
24-05-13 00:26.23,0.146,2.89
24-05-13 00:26.38,0.161,2.89
24-05-13 00:26.53,0.168,2.89
24-05-13 00:27.08,0.157,2.891
24-05-13 00:27.23,0.144,2.89
24-05-13 00:27.38,0.145,2.89
24-05-13 00:27.53,0.161,2.89
24-05-13 00:28.08,0.144,2.89
24-05-13 00:28.23,0.149,2.891
24-05-13 00:28.38,0.141,2.89
24-05-13 00:28.53,0.168,2.89
24-05-13 00:29.08,0.139,2.89
24-05-13 00:29.23,0.157,2.89
24-05-13 00:29.38,0.141,2.89
24-05-13 00:29.53,0.15,2.891
24-05-13 00:30.08,0.156,2.89
24-05-13 00:30.23,0.151,2.89
24-05-13 00:30.38,0.16,2.89
24-05-13 00:30.53,0.161,2.891
24-05-13 00:31.08,0.14,2.891
24-05-13 00:31.23,0.171,2.891
24-05-13 00:31.38,0.156,2.891
24-05-13 00:31.53,0.148,2.891
24-05-13 00:32.08,0.152,2.891
24-05-13 00:32.23,0.159,2.891
24-05-13 00:32.38,0.15,2.891
24-05-13 00:32.53,0.159,2.891
24-05-13 00:33.08,0.158,2.891
24-05-13 00:33.23,0.134,2.891
24-05-13 00:33.38,0.14,2.891
24-05-13 00:33.53,0.147,2.891
24-05-13 00:34.08,0.168,2.891
24-05-13 00:34.23,0.167,2.891
24-05-13 00:34.38,0.157,2.891
24-05-13 00:34.53,0.161,2.891
24-05-13 00:35.08,0.17,2.891
24-05-13 00:35.23,0.134,2.891
24-05-13 00:35.38,0.161,2.891
24-05-13 00:35.53,0.159,2.891
24-05-13 00:36.08,0.152,2.891
24-05-13 00:36.23,0.139,2.891
24-05-13 00:36.38,0.161,2.891
24-05-13 00:36.53,0.15,2.891
24-05-13 00:37.08,0.152,2.891
24-05-13 00:37.23,0.158,2.891
24-05-13 00:37.38,0.157,2.891
24-05-13 00:37.53,0.161,2.891
24-05-13 00:38.08,0.145,2.891
24-05-13 00:38.23,0.146,2.891
24-05-13 00:38.38,0.151,2.892
24-05-13 00:38.53,0.128,2.891
24-05-13 00:39.08,0.153,2.891
24-05-13 00:39.23,0.161,2.891
24-05-13 00:39.38,0.154,2.892
24-05-13 00:39.53,0.139,2.891
24-05-13 00:40.08,0.163,2.891
24-05-13 00:40.23,0.156,2.892
24-05-13 00:40.38,0.154,2.892
24-05-13 00:40.53,0.159,2.892
24-05-13 00:41.08,0.161,2.892
24-05-13 00:41.23,0.156,2.892
24-05-13 00:41.38,0.153,2.892
24-05-13 00:41.53,0.162,2.892
24-05-13 00:42.08,0.137,2.892
24-05-13 00:42.23,0.152,2.892
24-05-13 00:42.38,0.132,2.892
24-05-13 00:42.53,0.146,2.892
24-05-13 00:43.08,0.161,2.892
24-05-13 00:43.23,0.146,2.892
24-05-13 00:43.38,0.153,2.892
24-05-13 00:43.53,0.141,2.892
24-05-13 00:44.08,0.161,2.892
24-05-13 00:44.23,0.16,2.892
24-05-13 00:44.38,0.148,2.892
24-05-13 00:44.53,0.144,2.892
24-05-13 00:45.08,0.152,2.892
24-05-13 00:45.23,0.178,2.892
24-05-13 00:45.38,0.151,2.892
24-05-13 00:45.52,0.149,2.892
24-05-13 00:46.07,0.144,2.892
24-05-13 00:46.22,0.133,2.892
24-05-13 00:46.37,0.162,2.892
24-05-13 00:46.52,0.145,2.892
24-05-13 00:47.07,0.142,2.892
24-05-13 00:47.22,0.15,2.892
24-05-13 00:47.37,0.148,2.892
24-05-13 00:47.52,0.143,2.892
24-05-13 00:48.07,0.152,2.892
24-05-13 00:48.22,0.15,2.892
24-05-13 00:48.37,0.168,2.892
24-05-13 00:48.52,0.13,2.893
24-05-13 00:49.07,0.147,2.893
24-05-13 00:49.22,0.155,2.893
24-05-13 00:49.37,0.135,2.893
24-05-13 00:49.52,0.147,2.893
24-05-13 00:50.07,0.148,2.893
24-05-13 00:50.22,0.165,2.893
24-05-13 00:50.37,0.149,2.893
24-05-13 00:50.52,0.153,2.893
24-05-13 00:51.07,0.152,2.892
24-05-13 00:51.22,0.138,2.893
24-05-13 00:51.37,0.167,2.893
24-05-13 00:51.52,0.131,2.893
24-05-13 00:52.07,0.136,2.893
24-05-13 00:52.22,0.14,2.893
24-05-13 00:52.37,0.13,2.893
24-05-13 00:52.52,0.163,2.893
24-05-13 00:53.07,0.155,2.893
24-05-13 00:53.22,0.14,2.893
24-05-13 00:53.37,0.135,2.893
24-05-13 00:53.52,0.141,2.893
24-05-13 00:54.07,0.137,2.893
24-05-13 00:54.22,0.14,2.893
24-05-13 00:54.37,0.154,2.893
24-05-13 00:54.52,0.154,2.893
24-05-13 00:55.07,0.137,2.893
24-05-13 00:55.22,0.135,2.893
24-05-13 00:55.37,0.151,2.893
24-05-13 00:55.52,0.135,2.893
24-05-13 00:56.07,0.143,2.893
24-05-13 00:56.22,0.138,2.893
24-05-13 00:56.37,0.148,2.893
24-05-13 00:56.52,0.146,2.893
24-05-13 00:57.07,0.148,2.893
24-05-13 00:57.22,0.137,2.893
24-05-13 00:57.37,0.147,2.893
24-05-13 00:57.52,0.142,2.893
24-05-13 00:58.07,0.144,2.894
24-05-13 00:58.22,0.133,2.893
24-05-13 00:58.37,0.151,2.894
24-05-13 00:58.52,0.139,2.893
24-05-13 00:59.07,0.153,2.894
24-05-13 00:59.22,0.144,2.894
24-05-13 00:59.37,0.139,2.894
24-05-13 00:59.52,0.156,2.894
24-05-13 01:00.07,0.142,2.894
24-05-13 01:00.22,0.136,2.894
24-05-13 01:00.37,0.145,2.894
24-05-13 01:00.52,0.126,2.894
24-05-13 01:01.07,0.144,2.894
24-05-13 01:01.22,0.147,2.894
24-05-13 01:01.37,0.151,2.894
24-05-13 01:01.52,0.123,2.894
24-05-13 01:02.07,0.135,2.894
24-05-13 01:02.22,0.135,2.894
24-05-13 01:02.37,0.137,2.894
24-05-13 01:02.52,0.151,2.894
24-05-13 01:03.07,0.144,2.894
24-05-13 01:03.22,0.142,2.894
24-05-13 01:03.37,0.148,2.894
24-05-13 01:03.52,0.155,2.894
24-05-13 01:04.07,0.145,2.894
24-05-13 01:04.22,0.144,2.894
24-05-13 01:04.37,0.15,2.894
24-05-13 01:04.52,0.108,2.894
24-05-13 01:05.07,0.143,2.894
24-05-13 01:05.22,0.13,2.894
24-05-13 01:05.37,0.135,2.894
24-05-13 01:05.52,0.135,2.894
24-05-13 01:06.07,0.123,2.894
24-05-13 01:06.22,0.137,2.894
24-05-13 01:06.37,0.146,2.894
24-05-13 01:06.52,0.131,2.895
24-05-13 01:07.07,0.14,2.895
24-05-13 01:07.22,0.146,2.894
24-05-13 01:07.37,0.136,2.894
24-05-13 01:07.52,0.148,2.894
24-05-13 01:08.07,0.149,2.894
24-05-13 01:08.21,0.115,2.895
24-05-13 01:08.36,0.134,2.895
24-05-13 01:08.51,0.123,2.895
24-05-13 01:09.06,0.129,2.895
24-05-13 01:09.21,0.129,2.895
24-05-13 01:09.36,0.117,2.895
24-05-13 01:09.51,0.142,2.895
24-05-13 01:10.06,0.149,2.895
24-05-13 01:10.21,0.147,2.895
24-05-13 01:10.36,0.125,2.895
24-05-13 01:10.51,0.127,2.895
24-05-13 01:11.06,0.146,2.895
24-05-13 01:11.21,0.152,2.895
24-05-13 01:11.36,0.125,2.895
24-05-13 01:11.51,0.147,2.895
24-05-13 01:12.06,0.152,2.895
24-05-13 01:12.21,0.126,2.895
24-05-13 01:12.36,0.119,2.895
24-05-13 01:12.51,0.138,2.895
24-05-13 01:13.06,0.136,2.895
24-05-13 01:13.21,0.135,2.895
24-05-13 01:13.36,0.133,2.895
24-05-13 01:13.51,0.138,2.895
24-05-13 01:14.06,0.125,2.895
24-05-13 01:14.21,0.139,2.895
24-05-13 01:14.36,0.141,2.895
24-05-13 01:14.51,0.139,2.895
24-05-13 01:15.06,0.134,2.895
24-05-13 01:15.21,0.129,2.895
24-05-13 01:15.36,0.144,2.895
24-05-13 01:15.51,0.145,2.895
24-05-13 01:16.06,0.144,2.895
24-05-13 01:16.21,0.145,2.895
24-05-13 01:16.36,0.131,2.895
24-05-13 01:16.51,0.134,2.896
24-05-13 01:17.06,0.146,2.895
24-05-13 01:17.21,0.125,2.895
24-05-13 01:17.36,0.143,2.895
24-05-13 01:17.51,0.142,2.895
24-05-13 01:18.06,0.142,2.896
24-05-13 01:18.21,0.145,2.895
24-05-13 01:18.36,0.132,2.896
24-05-13 01:18.51,0.135,2.895
24-05-13 01:19.06,0.135,2.896
24-05-13 01:19.21,0.138,2.896
24-05-13 01:19.36,0.132,2.896
24-05-13 01:19.51,0.14,2.896
24-05-13 01:20.06,0.131,2.896
24-05-13 01:20.21,0.153,2.896
24-05-13 01:20.36,0.127,2.896
24-05-13 01:20.51,0.136,2.896
24-05-13 01:21.06,0.137,2.896
24-05-13 01:21.21,0.124,2.896
24-05-13 01:21.36,0.151,2.896
24-05-13 01:21.51,0.121,2.896
24-05-13 01:22.06,0.129,2.896
24-05-13 01:22.21,0.121,2.896
24-05-13 01:22.36,0.133,2.896
24-05-13 01:22.51,0.137,2.896
24-05-13 01:23.06,0.138,2.896
24-05-13 01:23.21,0.129,2.896
24-05-13 01:23.36,0.156,2.896
24-05-13 01:23.51,0.137,2.896
24-05-13 01:24.06,0.124,2.896
24-05-13 01:24.21,0.134,2.897
24-05-13 01:24.36,0.142,2.896
24-05-13 01:24.51,0.13,2.896
24-05-13 01:25.06,0.151,2.896
24-05-13 01:25.21,0.136,2.896
24-05-13 01:25.36,0.133,2.896
24-05-13 01:25.51,0.119,2.896
24-05-13 01:26.06,0.155,2.896
24-05-13 01:26.21,0.133,2.896
24-05-13 01:26.36,0.144,2.896
24-05-13 01:26.51,0.14,2.896
24-05-13 01:27.06,0.139,2.896
24-05-13 01:27.21,0.147,2.897
24-05-13 01:27.36,0.121,2.897
24-05-13 01:27.51,0.122,2.897
24-05-13 01:28.06,0.123,2.897
24-05-13 01:28.21,0.137,2.896
24-05-13 01:28.36,0.128,2.897
24-05-13 01:28.51,0.152,2.896
24-05-13 01:29.06,0.129,2.897
24-05-13 01:29.21,0.139,2.897
24-05-13 01:29.36,0.13,2.897
24-05-13 01:29.50,0.128,2.897
24-05-13 01:30.05,0.146,2.897
24-05-13 01:30.20,0.128,2.897
24-05-13 01:30.35,0.151,2.897
24-05-13 01:30.50,0.136,2.897
24-05-13 01:31.05,0.136,2.897
24-05-13 01:31.20,0.127,2.897
24-05-13 01:31.35,0.132,2.897
24-05-13 01:31.50,0.148,2.897
24-05-13 01:32.05,0.127,2.897
24-05-13 01:32.20,0.141,2.897
24-05-13 01:32.35,0.137,2.897
24-05-13 01:32.50,0.14,2.897
24-05-13 01:33.05,0.131,2.897
24-05-13 01:33.20,0.138,2.897
24-05-13 01:33.35,0.121,2.897
24-05-13 01:33.50,0.134,2.897
24-05-13 01:34.05,0.131,2.897
24-05-13 01:34.20,0.134,2.897
24-05-13 01:34.35,0.133,2.897
24-05-13 01:34.50,0.126,2.897
24-05-13 01:35.05,0.119,2.897
24-05-13 01:35.20,0.133,2.897
24-05-13 01:35.35,0.149,2.897
24-05-13 01:35.50,0.156,2.897
24-05-13 01:36.05,0.136,2.897
24-05-13 01:36.20,0.131,2.897
24-05-13 01:36.35,0.117,2.897
24-05-13 01:36.50,0.125,2.898
24-05-13 01:37.05,0.132,2.897
