time,current,voltage
24-05-12 08:39.49,0.378,2.884
24-05-12 08:40.04,0.392,2.884
24-05-12 08:40.19,0.37,2.884
24-05-12 08:40.34,0.374,2.883
24-05-12 08:40.49,0.382,2.882
24-05-12 08:41.04,0.402,2.881
24-05-12 08:41.19,0.384,2.881
24-05-12 08:41.34,0.402,2.883
24-05-12 08:41.49,0.375,2.888
24-05-12 08:42.04,0.376,2.894
24-05-12 08:42.19,0.377,2.901
24-05-12 08:42.34,0.364,2.906
24-05-12 08:42.49,0.381,2.911
24-05-12 08:43.04,0.378,2.914
24-05-12 08:43.19,0.392,2.916
24-05-12 08:43.34,0.389,2.916
24-05-12 08:43.49,0.38,2.915
24-05-12 08:44.04,0.381,2.913
24-05-12 08:44.19,0.388,2.913
24-05-12 08:44.34,0.377,2.914
24-05-12 08:44.49,0.383,2.916
24-05-12 08:45.04,0.399,2.916
24-05-12 08:45.19,0.396,2.914
24-05-12 08:45.34,0.4,2.911
24-05-12 08:45.49,0.386,2.91
24-05-12 08:46.04,0.393,2.908
24-05-12 08:46.19,0.398,2.907
24-05-12 08:46.34,0.388,2.906
24-05-12 08:46.49,0.38,2.906
24-05-12 08:47.04,0.379,2.906
24-05-12 08:47.19,0.385,2.907
24-05-12 08:47.34,0.389,2.906
24-05-12 08:47.49,0.378,2.906
24-05-12 08:48.04,0.383,2.907
24-05-12 08:48.19,0.396,2.908
24-05-12 08:48.34,0.383,2.909
24-05-12 08:48.49,0.38,2.914
24-05-12 08:49.04,0.359,2.919
24-05-12 08:49.19,0.373,2.923
24-05-12 08:49.34,0.381,2.926
24-05-12 08:49.49,0.373,2.927
24-05-12 08:50.04,0.366,2.929
24-05-12 08:50.19,0.38,2.932
24-05-12 08:50.34,0.372,2.936
24-05-12 08:50.49,0.352,2.941
24-05-12 08:51.04,0.38,2.945
24-05-12 08:51.19,0.361,2.947
24-05-12 08:51.34,0.355,2.95
24-05-12 08:51.49,0.374,2.951
24-05-12 08:52.04,0.37,2.949
24-05-12 08:52.19,0.382,2.946
24-05-12 08:52.34,0.382,2.944
24-05-12 08:52.49,0.353,2.943
24-05-12 08:53.04,0.37,2.942
24-05-12 08:53.19,0.374,2.941
24-05-12 08:53.34,0.368,2.941
24-05-12 08:53.49,0.371,2.94
24-05-12 08:54.04,0.373,2.939
24-05-12 08:54.19,0.376,2.938
24-05-12 08:54.34,0.383,2.938
24-05-12 08:54.49,0.393,2.937
